2018-11-20 06:39:34,064 - WARNING - received error fetching 2010 sf1 data {'in': 'county:093 state:27 tract:560300', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:40:54,637 - WARNING - received error fetching 2010 sf1 data {'in': 'county:053 state:27 tract:108600', 'for': 'block group:*'}, will retry shortly
2018-11-20 06:41:27,010 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:145 state:27 tract:000500'}, will retry shortly
2018-11-20 06:43:44,450 - WARNING - received error fetching 2010 sf1 data {'in': 'county:033 state:28 tract:070722', 'for': 'block group:*'}, will retry shortly
2018-11-20 07:35:17,752 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:019 state:29 tract:000900'}, will retry shortly
2018-11-20 07:35:19,800 - WARNING - received error fetching 2012 acs5 data {'in': 'county:163 state:26 tract:511900', 'for': 'block group:*'}, will retry shortly
2018-11-20 07:35:19,800 - WARNING - received error fetching 2015 acs5 data {'in': 'county:033 state:28 tract:070101', 'for': 'block group:*'}, will retry shortly
2018-11-20 07:35:19,800 - WARNING - received error fetching 2015 acs5 data {'for': 'block group:*', 'in': 'county:017 state:29 tract:950100'}, will retry shortly
2018-11-20 07:35:19,800 - WARNING - received error fetching 2012 acs5 data {'in': 'county:015 state:29 tract:460100', 'for': 'block group:*'}, will retry shortly
2018-11-20 07:35:19,804 - WARNING - received error fetching None acs5 data {'for': 'tract:*', 'in': 'county:025 state:29'}, will retry shortly
2018-11-20 07:35:27,992 - WARNING - received error fetching 2010 sf1 data {'in': 'county:023 state:29 tract:950100', 'for': 'block group:*'}, will retry shortly
2018-11-20 07:35:44,376 - WARNING - received error fetching None acs5 data {'for': 'tract:*', 'in': 'county:027 state:29'}, will retry shortly
2018-11-20 07:55:28,530 - WARNING - received error fetching None acs5 data {'for': 'tract:*', 'in': 'county:019 state:29'}, will retry shortly
2018-11-20 07:55:34,674 - WARNING - received error fetching None acs5 data {'in': 'county:023 state:29', 'for': 'tract:*'}, will retry shortly
2018-11-20 16:12:44,342 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:021 state:29 tract:000400'}, will retry shortly
2018-11-20 16:18:04,792 - WARNING - received error fetching 2010 sf1 data {'in': 'county:015 state:01 tract:001000', 'for': 'block group:*'}, will retry shortly
2018-11-20 16:18:04,795 - INFO - Traceback (most recent call last):
  File "/App/scripts/utils_census.py", line 159, in fetchResults
    return getattr(c, source).get(items, lookup_dict, year=year)
  File "/App/scripts/census_patch.py", line 19, in get
    return super(SF1ClientPatch, self).get(*args, **kwargs)
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 118, in get
    merged_results = [merge(result) for result in zip(*all_results)]
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 117, in <genexpr>
    for fifty_fields in chunks(fields, 50))
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 163, in query
    raise CensusException(resp.text)
census.core.CensusException: There was an error while running your query.  We've logged the error and we'll correct it ASAP.  Sorry for the inconvenience.

2018-11-20 16:18:40,883 - WARNING - received error fetching 2010 sf1 data {'in': 'county:045 state:01 tract:020802', 'for': 'block group:*'}, will retry shortly
2018-11-20 16:18:40,884 - INFO - Traceback (most recent call last):
  File "/App/scripts/utils_census.py", line 159, in fetchResults
    return getattr(c, source).get(items, lookup_dict, year=year)
  File "/App/scripts/census_patch.py", line 19, in get
    return super(SF1ClientPatch, self).get(*args, **kwargs)
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 118, in get
    merged_results = [merge(result) for result in zip(*all_results)]
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 117, in <genexpr>
    for fifty_fields in chunks(fields, 50))
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 163, in query
    raise CensusException(resp.text)
census.core.CensusException: There was an error while running your query.  We've logged the error and we'll correct it ASAP.  Sorry for the inconvenience.

2018-11-20 16:18:48,093 - WARNING - received error fetching 2010 sf1 data {'in': 'county:049 state:01 tract:960900', 'for': 'block group:*'}, will retry shortly
2018-11-20 16:18:48,096 - INFO - Traceback (most recent call last):
  File "/App/scripts/utils_census.py", line 159, in fetchResults
    return getattr(c, source).get(items, lookup_dict, year=year)
  File "/App/scripts/census_patch.py", line 19, in get
    return super(SF1ClientPatch, self).get(*args, **kwargs)
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 118, in get
    merged_results = [merge(result) for result in zip(*all_results)]
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 117, in <genexpr>
    for fifty_fields in chunks(fields, 50))
